num_duplicate_rows,fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
2,7327321543686950376,Organic Search,87097,Chile,not available in demo dataset,,,244,13,,20170223,1487880887,PAGE,,,59990000,,GGOEGBPB082099,UpCycled Handlebar Bag,Home/Accessories/Sports & Fitness/,(not set),,,,,,Sports & Fitness | Accessories | Google Merchandise Store,,/google+redesign/,2,1,
5,5990814637864284423,Referral,240184,United States,Mountain View,,,414,26,,20161212,1481574169,PAGE,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,7845114848613059919,Referral,791577,United States,New York,304320000,1,792,17,,20161215,1481840106,PAGE,,,2390000,,GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware, RED,USD,,,,ORD201612152739,Checkout Confirmation,,/ordercompleted.html,6,1,
6,7360768108223062056,Display,2034110,United States,Sunnyvale,,,2262,16,,20160914,1473890234,PAGE,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,4089398984309263376,Direct,157590,India,Bengaluru,,,158,3,,20170311,1489227939,PAGE,,,1990000,,GGOEYFKQ020699,YouTube Custom Decals,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
2,5186802869072248264,Direct,998705,United States,Mountain View,199580000,1,1009,62,,20161104,1478272441,PAGE,,,8790000,,GGOEGOCB017499,Leatherette Journal,Office,Single Option Only,USD,,,,ORD201611041971,Checkout Confirmation,,/ordercompleted.html,6,1,
2,8942866004645538967,Direct,208627,United States,not available in demo dataset,3775800000,7,6427,343,,20170320,1489999542,PAGE,,,21990000,,GGOEGAAX0590,Google Men's Short Sleeve Performance Badge Tee Navy,Home/Apparel/Men's/Men's-Performance Wear/,(not set),,,,,,Men's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,2,1,
4,575143870190264156,Referral,160962,United States,not available in demo dataset,107000000,1,190,9,,20161224,1482608236,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
2,4835082938415020542,Direct,1173908,United States,not available in demo dataset,755300000,1,1444,32,,20161116,1479341021,PAGE,,,35000000,,GGOEGBJR018199,Reusable Shopping Bag,Bags,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,6447356565637266473,Organic Search,119269,India,(not set),,,130,7,,20170310,1489164815,PAGE,,,16990000,,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/,(not set),,,,,,Apparel | Google Merchandise Store,,/google+redesign/,2,1,
